object_id,publisher,journal,issn
item_3369568,Heyden & Son,NMR in Biomedicine,0952-3480
item_3386615,Pergamon,Quaternary Science Reviews,0277-3791
item_3492029,Elsevier,Biosensors and Bioelectronics,0956-5663
item_3484117,Wiley-VCH ,"Angewandte Chemie, International Edition in English",0570-0833
item_3405343,American Chemical Society,Chemical Reviews,0009-2665
item_3388097,North-Holland,Journal of Crystal Growth,0022-0248
item_3482126,"ACS, GDCh, Royal Society of Chemistry",ChemRxiv : the Preprint Server for Chemistry,
item_3407431,Elsevier,The Lancet,01406736
item_3387035,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3475470,Elsevier,Journal of Biological Chemistry ,0021-9258
item_3379624,Wiley-VCH,Advanced nanoBiomed research,2699-9307
item_3485481,"""eLife Sciences Publications, Ltd.""",eLife,2050-084X
item_3489281,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3402062,Cell Press,Developmental Cell,1534-5807
item_3457780,Springer,International Journal on Software Tools for Technology Transfer,1433-2779
item_3390650,Wiley-Liss,Magnetic Resonance in Medicine,0740-3194
item_3361316,Nature Publishing Group,Nature,0028-0836
item_3431775,SAGE Publications,Advances in Methods and Practices in Psychological Science,2515-2459
item_3374211,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3371963,Nature Publishing Group,Nature Protocols,1750-2799
item_3350700,Nature Publishing Group,Nature Protocols,1750-2799
item_3375079,Blackwell Science,The Plant Journal,0960-7412
item_3401090,American Chemical Society,Journal of the American Chemical Society,0002-7863
item_3480542,Public Library of Science,PLoS One,1932-6203
item_3478484,Public Library of Science,PLoS One,1932-6203
item_3345755,Elsevier,Quaternary Science Reviews,0277-3791
item_3345753,Pergamon,Quaternary Science Reviews,0277-3791
item_3456303,American Chemical Society,ACS Applied Materials and Interfaces,1944-8244
item_3458108,American Society of Human Genetics ,Human Genetics and Genomics Advances,
item_3370186,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3476463,MDPI ,Applied Sciences,2076-3417
item_3493491,American Institute of Physics,Chaos,1054-1500
item_3400946,American Chemical Society,Journal of the American Chemical Society,0002-7863
item_3496878,eLife Sciences Publications,eLife,2050-084X
item_3509327,American Association for the Advancement of Science,Science Immunology,2470-9468
item_3372801,Nature Research,Nature Human Behaviour,2397-3374
item_3395062,Genetics Society of America,"G3: Genes, Genomes, Genetics",2160-1836
item_3476716,Springer,The Cerebellum,1473-4222
item_3379565,Academic Press,Appetite,0195-6663
item_3380675,American Society of Plant Biologists,Plant Physiology,0032-0889
item_3490668,The European Commission,Open Research Europe,2732-5121
item_3395064,IOP Publishing,New Journal of Physics,1367-2630
item_3405788,Wiley-Blackwell,Molecular Ecology,0962-1083
item_3389148,Springer,Journal of Automated Reasoning,0168-7433
item_3476930,MDPI AG,Metabolites,
item_3510127,Wiley (Blackwell Publishing),Topics in Cognitive Science,1756-8757
item_3377800,Nature Publishing Group,Scientific Reports,2045-2322
item_3371574,American Psychological Association (PsycARTICLES),Psychological Review,0033-295X
item_3401477,National Academy of Sciences,PNAS,0027-8424
item_3450668,Elsevier Science,Acta Materialia,1359-6454
item_3510617,Psychonomic Society,Behavior Research Methods,1554-3528
item_3612031,American Society of Hematology,Blood Advances,2473-9537
item_3363157,Frontiers Research Foundation ,Frontiers in Veterinary Science,2297-1769
item_3386530,Nature Publishing Group,Nature Ecology & Evolution,2397-334X
item_3373167,Springer Nature,Communications Materials,2662-4443
item_3375833,Copernicus GmbH on behalf of the European Geosciences Union,Biogeosciences,1726-4170
item_3524380,Cell Press,Current Biology,0960-9822
item_3361963,Nature Publishing Group,Nature,0028-0836
item_3366879,Elsevier,Acta Materialia,1359-6454
item_3456668,Cell Press,Cell Reports,2211-1247
item_3384181,Nature Pub. Group,Nature Structural Molecular Biology,1545-9993
item_3477446,Springer Nature,Communications Biology,2399-3642
item_3457774,eLife Sciences Publications,eLife,2050-084X
item_3361857,Springer,Review of Philosophy and Psychology,1878-5158
item_3371649,"""eLife Sciences Publications, Ltd.""",ELIFE,2050-084X
item_3484540,University of Chicago Press for the American Astronomical Society,The Astrophysical Journal Letters,0004-637X
item_3400288,Nature Publishing Group,Nature,0028-0836
item_3432026,Taylor & Francis,Gut Microbes,
item_3475490,Wiley-VCH ,Angewandte Chemie International Edition,1433-7851
item_3400163,Sage Publishing,Neuroscience Insights,2633-1055
item_3395964,Springer Science and Business Media LLC,Nature,0028-0836
item_3431224,Wiley-VCH,Small,1613-6810
item_3597764,Wiley (John Wiley & Sons),Small,1613-6810
item_3504256,Rockefeller Institute Press,The Journal of Cell Biology : JCB,0021-9525
item_3400068,Elsevier,Structures,2352-0124
item_3406988,Nature Publishing Group,Scientific Reports,2045-2322
item_3370686,Wiley-VCH,Advanced Materials,0935-9648
item_3431000,Wiley-VCH ,Angewandte Chemie International Edition,1433-7851
item_3479429,EDP Sciences,Astronomy and Astrophysics,1432-0746
item_3400722,Springer,Nature,0028-0836
item_3366398,Cell Press ; Elsevier,STAR Protocols,2666-1667
item_3430454,National Academy of Sciences,Proceedings of the National Academy of Sciences of the United States of America,0027-8424
item_3565455,Cold Spring Harbor Laboratory Press,Genome Research,1088-9051
item_3458928,World Scientific,Advances in Complex Systems,0219-5259
item_3375066,Nature Pub. Group,Nature Physics,1745-2473
item_3405307,Nature Publishing Group,Nature Chemistry,1755-4330
item_3396379,Nature Publishing Group,Nature Chemistry,1755-4330
item_3514514,Nature Publishing Group UK,Communications Engineering,2731-3395
item_3519976,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3407427,American Association for the Advancement of Science (AAAS),Science,0036-8075
item_3403075,Public Library of Science,PLOS ONE,1932-6203
item_3552677,Springer,The European Physical Journal H,2102-6459
item_3379250,Published for EMBO by Oxford University Press,EMBO Reports,1469-221X
item_3430416,Nature Publishing Group,Nature Plants,2055-0278
item_3495046,Elsevier,Current Opinion in Colloid & Interface Science,1359-0294
item_3478797,EDP Sciences,Astronomy and Astrophysics,1432-0746
item_3475726,Nature Publishing Group,Nature Communications,2041-1723
item_3492972,EDP Sciences,Astronomy and Astrophysics,1432-0746
item_3395704,AIP Publishing,Review of Scientific Instruments,0034-6748
item_3406863,AIP Publishing,Review of Scientific Instruments,0034-6748
item_3325745,Wiley (Blackwell Publishing),Molecular Ecology,0962-1083
item_3386053,AIP Publishing,Review of Scientific Instruments,0034-6748
item_3487589,MDPI,Methods and protocols,2409-9279
item_3456267,Nature Publishing Group,Nature,0028-0836
item_3386883,Oxford University Press,Cerebral Cortex,1047-3211
item_3395637,American Chemical Society,Journal of Chemical Theory and Computation,1549-9618
item_3383281,Wiley-VCH,ChemSusChem,1864-5631
item_3369258,Gale Group Inc.,Nature Biotechnology,1087-0156
item_3367248,Nature Publishing Group,Scientific Reports,2045-2322
item_3473482,Oxford University Press,microLife,2633-6693
item_3402074,Elsevier,Journal of Genetics and Genomics ,1673-8527
item_3399953,Copernicus GmbH,Earth System Science Data,1866-3508
item_3384238,The Royal Society Publishing,Philosophical Transactions of the Royal Society B: Biological Sciences,0962-8436
item_3494658,IUScholarWorks,Anthropology of East Europe Review,2153-2931
item_3391188,Springer Nature,Nature Communications,2041-1723
item_3396228,Springer Science and Business Media LLC,Nature Communications,2041-1723
item_3489096,Williams & Wilkins,The Journal of Immunology,0022-1767
item_3488587,Pergamon,International Journal of Plasticity,0749-6419
item_3403039,Nature Research,Nature Computational Science,2662-8457
item_3376745,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3559292,Routledge,"Religion, Brain & Behavior",
item_3478947,Springer Nature,Nature astronomy,2397-3366
item_3371902,Frontiers Media SA,Frontiers in Physiology,1664-042X
item_3378772,American Society of Plant Biologists,Plant Physiology,0032-0889
item_3450736,Nature Publishing Group,Nature,0028-0836
item_3504418,Public Library of Science,PLoS Pathogens,1553-7366
item_3495454,Frontiers Media,Frontiers in Earth Science,2296-6463
item_3288755,Nature Publishing Group,Nature Protocols,1750-2799
item_3485355,Frontiers Media,Frontiers in Physics,2296-424X
item_3403481,Nature Publishing Group,Nature,0028-0836
item_3390211,Springer,Nature Communications,
item_3490852,IOP Publishing,Journal of Cosmology and Astroparticle Physics,1475-7516
item_3384773,MDPI,Games,2073-4336
item_3479464,Nature Publishing Group,Nutrition & Diabetes,2044-4052
item_3375253,Nature Publishing Group,Nature Communications,2041-1723
item_3525206,JMIR Serious Games,JMIR Serious Games,2291-9279
item_3358515,Elsevier B.V.,Applied Surface Science,0169-4332
item_3363734,Elsevier,Chemical Engineering Journal,1385-8947
item_3377069,Royal Society,Royal Society Open Science,2054-5703
item_3515608,Elsevier,Journal of Computational Physics,00219991
item_3500563,Public Library of Science,PLoS One,1932-6203
item_3456684,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3379700,Pergamon,Quaternary Science Reviews,0277-3791
item_3405341,AAAS,Science Advances,2375-2548
item_3378576,Urban & Fischer,Zeitschrift für Medizinische Physik,0939-3889
item_3359542,Wiley-VCH ,Angewandte Chemie International Edition,1433-7851
item_3488246,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,0027-8424
item_3456574,National Academy of Sciences,Proceedings of the National Academy of Sciences of the United States of America,0027-8424
item_3405450,MDPI AG,Algorithms,1999-4893
item_3398333,MDPI,Algorithms,1999-4893
item_3372651,EDP Sciences; Springer,"The European Physical Journal D: Atomic, Molecular and Optical Physics",1434-6060
item_3489389,Wiley-VCH,Advanced Materials,0935-9648
item_3513244,Hindawi Limited,Indoor Air,0905-6947
item_3547231,Wiley-Blackwell,Indoor Air : international journal of indoor air quality and climate,1600-0668
item_3458231,Hindawi Limited,Indoor Air,0905-6947
item_3477852,Oxford Univ. Press,Genome Biology and Evolution,1759-6653
item_3379718,Copernicus Publications,Atmospheric Chemistry and Physics,1680-7316
item_3386096,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3473740,Royal Society of Chemistry,Physical Chemistry Chemical Physics,1463-9076
item_3363479,American Institute of Physics,Review of Scientific Instruments,0034-6748
item_3451072,IOP Publishing,Research in Astronomy and Astrophysics,1674-4527
item_3492671,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3365928,National Academy of Sciences,Proceedings of the National Academy of Sciences of the United States of America,0027-8424
item_3366308,MDPI,Universe,2218-1997
item_3378740,Pergamon,Corrosion Science,0010-938X
item_3364456,BioMed Central,Alzheimer's Research & Therapy,1758-9193
item_3484837,Wiley-VCH ,Angewandte Chemie International Edition,1433-7851
item_3371935,WILEY-VCH ,Proteomics,1615-9853
item_3473498,MDPI,Plants,2223-7747
item_3372076,IOP Publishing,Journal of Instrumentation,1748-0221
item_3402077,BioMed Central Ltd.,Genome Biology : Biology for the Post-Genomic Era,1465-6906
item_3373020,American Association for the Advancement of Science,Science,0036-8075
item_3489320,Nature Publishing Group,Scientific Reports,2045-2322
item_3479537,Nature Publishing Group,Scientific Reports,2045-2322
item_3372719,Wiley (John Wiley & Sons),Glia,0894-1491
item_3597766,Frontiers Media SA,Frontiers in Physics,2296-424X
item_3518211,Wiley,Advanced Materials Technologies,2365-709X
item_3476064,Frontiers Media,Frontiers in Plant Science,1664-462X
item_3395028,MDPI AG,International Journal of Molecular Sciences ,1422-0067
item_3407209,MDPI ,Journal of Fungi,2309-608X
item_3431701,American Chemical Society,ACS Nano,1936-0851
item_3407158,MDPI ,Molecules,1420-3049
item_3367710,Springer,Journal of Automated Reasoning,0168-7433
item_3488462,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3495988,PeerJ Inc.,PeerJ,2167-8359
item_3430549,Elsevier,Journal of Human Evolution,00472484
item_3458180,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3374062,American Chemical Society,Journal of the American Chemical Society,0002-7863
item_3394071,Elsevier,Journal of Neuroscience Methods,0165-0270
item_3383863,Copernicus Publications,Atmospheric Chemistry and Physics,1680-7316
item_3380957,Royal Society of Chemistry,Physical Chemistry Chemical Physics,1463-9076
item_3399902,Wiley; New Phytologist Foundation,New Phytologist,0028-646X
item_3456290,Wiley-VCH,Annalen der Physik,
item_3397145,Academic Press,NeuroImage,1053-8119
item_3398691,RSC,Inorganic Chemistry Frontiers,2052-1553
item_3428756,MDPI,Biology,
item_3562898,C.H. Beck / Nomos,Zeitschrift für ausländisches öffentliches Recht und Völkerrecht,0044-2348
item_3432914,"Antiquity Publications, Ltd.",Antiquity,0003-598X
item_3398399,Nature Publishing Group,Nature Plants,2055-0278
item_3430731,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,0027-8424
item_3493873,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3458023,The Royal Society of Chemistry,Physical Chemistry Chemical Physics,1463-9076
item_3363051,Elsevier,Vaccine,0264-410X
item_3432400,National Academy of Sciences,Proceedings of the National Academy of Sciences of the United States of America,0027-8424
item_3361093,AIP Publishing,Review of Scientific Instruments,0034-6748
item_3432834,National Academy of Sciences,Proceedings of the National Academy of Sciences of the United States of America,0027-8424
item_3379664,John Wiley & Sons,Rapid Communications in Mass Spectrometry,0951-4198
item_3376088,Oxford University Press ,Molecular Plant,1674-2052
item_3390780,Springer Nature Publishing,Nature Machine Intelligence,2522-5839
item_3377442,Blackwell Science,The Plant Journal,0960-7412
item_3398487,Wiley-VCH,European Journal of Organic Chemistry,1434-193X
item_3451024,Wiley,International Journal of Climatology,0899-8418
item_3376018,Bentham Science Publishers,Current Drug Targets,1389-4501
item_3386780,AAAS,Science Advances,2375-2548
item_3374892,Nature Publishing Group,Scientific Reports,2045-2322
item_3396897,American Association for the Advancement of Science (AAAS),SCIENCE TRANSLATIONAL MEDICINE,1946-6234
item_3385611,Nature Publishing Group,Scientific Reports,2045-2322
item_3501687,Wiley-VCH Verlag GmbH,Advanced Functional Materials,1616-301X
item_3456702,Springer Nature,Nature astronomy,2397-3366
item_3456557,Wiley-VCH Verlag GmbH,Advanced Synthesis & Catalysis,1615-4150
item_3404956,Frontiers Media,Frontiers in Cell and Developmental Biology,
item_3477057,Nature Pub. Group,Nature Structural & Molecular Biology,1545-9993
item_3396187,,Nucleic Acids Research,0301-5610
item_3478460,Elsevier,Neuroscience,0306-4522
item_3364417,Elsevier,One Earth,2590-3322
item_3360570,American Association for the Advancement of Science (AAAS),Science Advances,2375-2548
item_3501859,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3403024,Association for Computing Machinery,ACM computing surveys,0360-0300
item_3368360,Springer Science and Business Media LLC,The EMBO Journal,0261-4189
item_3483207,Nature Publishing Group,Nature Chemistry,1755-4330
item_3556889,Wiley-VCH ,"Angewandte Chemie, International Edition in English",0570-0833
item_3379122,Nature Publishing Group,Nature Communications,2041-1723
item_3475203,Springer-Verlag,Journal of Archaeological Method and Theory,1072-5369
item_3395124,Wiley (John Wiley & Sons),Small,1613-6810
item_3476908,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3379033,H. Stewart Publications,Briefings in Bioinformatics,1467-5463
item_3432006,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3376677,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3478466,Nature Publishing Group,Nature Methods,1548-7091
item_3367138,American Psychological Association (PsycARTICLES),Psychological Review ,0033-295X
item_3381019,Nature Publishing Group,Nature Communications,2041-1723
item_3386528,Springer Science and Business Media LLC,Nature Communications,2041-1723
item_3387633,Wiley-VCH,Advanced Materials,0935-9648
item_3444714,Public Library of Science,PLoS One,1932-6203
item_3493607,University of Chicago Press for the American Astronomical Society,The Astrophysical Journal Letters,0004-637X
item_3396120,AMER CHEMICAL SOC,BIOCHEMISTRY,0006-2960
item_3389573,Wiley-VCH,Macromolecular Rapid Communications,1022-1336
item_3387880,American Institute of Physics,The Journal of Chemical Physics,0021-9606
item_3430422,AAAS,Science Advances,2375-2548
item_3507938,Rockefeller Institute Press,Journal of Cell Biology,0021-9525
item_3458001,The University of Chicago Press,History of Humanities,2379-3163
item_3385450,AAAS,Science Advances,2375-2548
item_3434833,Academic Press,NeuroImage,1053-8119
item_3383286,American Institute of Physics,Applied Physics Reviews,1931-9401
item_3451396,Oxford University Press,Briefings in bioinformatics,1477-4054
item_3376260,American Institute of Physics,The Journal of Chemical Physics,0021-9606
item_3383391,Elsevier,CURRENT BIOLOGY,0960-9822
item_3377179,Ovid Technologies (Wolters Kluwer) - American Heart Association,CIRCULATION RESEARCH,0009-7330
item_3367863,Cell Press,Biophysical Journal,0006-3495
item_3451195,Nature Publishing Group,Nature,0028-0836
item_3519972,Nature Publishing Group,Scientific Data,2052-4463
item_3488234,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3378550,Japanese Society of Plant Physiologists.,"Plant and Cell Physiology
",0032-0781
item_3396530,American Association for the Advancement of Science,Science,0036-8075
item_3367252,Birkhaeuser Verlag,Cellular and Molecular Life Sciences,1420-682X
item_3365980,American Physical Society,Physical Review Letters,0031-9007
item_3424085,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3371734,American Chemical Society,Journal of Chemical Theory and Computation,1549-9618
item_3370218,American Institute of Physics,Applied Physics Letters,0003-6951
item_3396119,NATURE PORTFOLIO,NATURE MICROBIOLOGY,2058-5276
item_3395407,Published on behalf of the European Sleep Research Society by Blackwell Scientific Publications,Journal of Sleep Research,0962-1105
item_3380820,American Physical Society,Physical Review B,1098-0121
item_3405151,Springer,Journal for General Philosophy of Science,1572-8587
item_3458741,American Physical Society,Physical Review B,1098-0121
item_3405276,ACS,ACS Catalysis,2155-5435
item_3480480,Wiley-VCH ,Angewandte Chemie,0044-8249
item_3364353,American Chemical Society,Analytical Chemistry,0003-2700
item_3366088,,Ordines,2421-0730
item_3406356,Società italiana di fisica,Journal of high energy physics : JHEP,1126-6708
item_3405703,American Association for the Advancement of Science (AAAS),Science Advances,2375-2548
item_3517650,American Geophysical Union / Wiley,Geophysical Research Letters,0094-8276
item_3396720,Frontiers Media,Frontiers in Molecular Biosciences,
item_3482886,Wiley-Liss,Magnetic Resonance in Medicine,0740-3194
item_3378228,Wiley-Liss,Magnetic Resonance in Medicine,0740-3194
item_3395188,Nature Research,Nature Communications,2041-1723
item_3375707,Elsevier B.V.,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",0168-9002
item_3429817,Elsevier Current Trends,Trends in Plant Science,1360-1385
item_3487752,Wiley (Blackwell Publishing),GEOBIOLOGY,1472-4677
item_3384424,MDPI,Computation,2079-3197
item_3479349,Institute of Physics Publishing,Journal of Neural Engineering,1741-2552
item_3377992,American Society for Microbiology (ASM),Applied and Environmental Microbiology,0099-2240
item_3430404,BioMed Central,BMC Genomics,1471-2164
item_3451066,American Chemical Society,Chemistry of Materials,0897-4756
item_3376900,Published by the Institute of Electrical and Electronics Engineers for the Magnetics Group,IEEE Transactions on Magnetics,0018-9464
item_3521076,Elsevier,One Earth,2590-3322
item_3378654, Elsevier Ltd.,Nano Today,1748-0132
item_3398460,American Chemical Society,The Journal of Physical Chemistry Letters,1948-7185
item_3261386,Copernicus GmbH on behalf of the European Geosciences Union,Biogeosciences,1726-4170
item_3385781,Frontiers Media,Frontiers in Microbiology,1664-302X
item_3396947,,Nature Human Behaviour,
item_3470855,Elsevier,iScience,25890042
item_3369201,Wiley-VCH ,Angewandte Chemie International Edition,1433-7851
item_3493809,[Verlag nicht ermittelbar],Engineering,2095-8099
item_3476718,Elsevier,Bioresource Technology,0960-8524
item_3612022,American Chemical Society,Journal of Chemical Theory and Computation,1549-9618
item_3397037,Microbiology Society,Microbial Genomics,2057-5858
item_3438802,Academic Press,NeuroImage,1053-8119
item_3403097,Springer Science and Business Media LLC,npj Precision Oncology,2397-768X
item_3373538,SAGE Publications,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,0271-678X
item_3385898,Frontiers Research Foundation,Frontiers in Physiology,1664-042X
item_3502314,AAAS,Science Advances,2375-2548
item_3488803,American Psychological Association,"Journal of Experimental Psychology: Learning, Memory, and Cognition",1939-1285
item_3552373,MDPI,Universe,2218-1997
item_3479025,IOP Publishing - Europhysics Letters,Europhysics Letters,0295-5075
item_3476754,Springer Science and Business Media LLC,npj Microgravity,2373-8065
item_3479239,Springer-Verlag,CELLULAR AND MOLECULAR LIFE SCIENCES,1420-682X
item_3373135,American Chemical Society,Macromolecules,0024-9297
item_3385471,Springer Nature,Nature Cancer,2662-1347 (online)
item_3364596,American Chemical Society,Nano Letters,1530-6984
item_3399478,Elsevier,APPETITE,0195-6663
item_3377815,Wiley-VCH,Macromolecular Rapid Communications,1022-1336
item_3573643,Felix Meiner Verlag,Archiv für Begriffsgeschichte,
item_3386556,Elsevier,Cognition,0010-0277
item_3397750,American Physical Society,Physical Review B,1098-0121
item_3457823,Annual Reviews [etc.],Annual Review of Entomology,0066-4170
item_3480300,Nature Pub. Group,Translational Psychiatry,2158-3188
item_3362486,Informa UK (Taylor & Francis),History of Education,0046-760X
item_3430730,Ovid Technologies (Wolters Kluwer) - American Heart Association,CIRCULATION RESEARCH,0009-7330
item_3480762,American Chemical Society,ACS Omega,2470-1343
item_3380624,Wiley-VCH ,Angewandte Chemie International Edition,1433-7851
item_3395693,"John Wiley & Sons, Inc.",Ecology and Evolution,2045-7758
item_3418285,Springer-Verlag,European Journal of Nuclear Medicine and Molecular Imaging,1619-7070
item_3430622,American Society for Microbiology,Microbiology Spectrum,2165-0497
item_3320055,APS,PRX Quantum,
item_3531697,Elsevier,Journal of Memory and Language,0749596X
item_3361203,The Royal Society,Journal of The Royal Society Interface,1742-5662
item_3474119,Nature Publishing Group,Nature Ecology & Evolution,2397-334X
item_3475199,Nature Publishing Group,Nature Ecology & Evolution,2397-334X
item_3430289,American Chemical Society,The Journal of Physical Chemistry C,1932-7447
item_3432762,Springer,Journal of Materials Science,0022-2461
item_3389051,Wiley,Evolution: international journal of organic evolution,0014-3820
item_3485818,AIP Publishing,Review of Scientific Instruments,0034-6748
item_3485667,Academic Press,NeuroImage,1053-8119
item_3397586,Blackwell-Wiley,Computer Graphics Forum,0167-7055
item_3475964,Wiley-VCH ,Angewandte Chemie International Edition,1433-7851
item_3482254,IOP Publishing,New Journal of Physics,1367-2630
item_3379952,American Chemical Society,The Journal of Physical Chemistry C,1932-7447
item_3484219,Elsevier,Journal of Hazardous Materials,0304-3894
item_3477964,Frontiers Research Foundation,Frontiers in Psychiatry,1664-0640
item_3387433,American Chemical Society,Journal of the American Chemical Society,0002-7863
item_3388784,Elsevier,Cognition,0010-0277
item_3504914,,Forum Historiae Iuris,
item_3527299,Academic Press,NeuroImage,1053-8119
item_3580220,American Society of International Law,American journal of  international law ,0002-9300
item_3393876,Routledge,"Language, Cognition and Neuroscience",
item_3580304,"Constitutional Court of Korea, Constitutional Research Institute",Journal of Constitutional Law,2383-8108
item_3373663,Springer,Archaeological and Anthropological Sciences,1866-9557
item_3377061,"John Wiley & Sons, Ltd",Molecular Ecology,
item_3379799,Elsevier Masson SAS,Cortex,0010-9452
item_3404220,Oxford University Press,Cerebral Cortex,1047-3211
item_3484770,"John Wiley & Sons, Inc.",Ecology and Evolution,2045-7758
item_3488213,Public Library of Science,PLOS ONE,1932-6203
item_3357543,Sage Publications,Simulation,0037-5497
item_3492698,The Royal Society,Philosophical Transactions of the Royal Society B: Biological Sciences,0962-8436
item_3482296,IOP Publishing,The Astronomical Journal,1538-3881
item_3396407,H. Stewart Publications,Briefings in Bioinformatics,1467-5463
item_3471048,Frontiers Media,Frontiers in Ecology and Evolution,2296-701X
item_3332756,Wiley,Journal of Geophysical Research: Oceans ,2169-9291
item_3506795,IEEE,IEEE Robotics and Automation Letters,2377-3766
item_3482997,Springer,Machine Learning,0885-6125
item_3400841,American Association for the Advancement of Science (AAAS),SCIENCE,0036-8075
item_3387892,American Association for the Advancement of Science,Science,0036-8075
item_3406797,Wiley-VCH,Biologie in unserer Zeit,0045-205X
item_3371937,Nature Publishing Group,Nature Communications,2041-1723
item_3451138,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3481461,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3376227,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3481020,Nature Publishing Group,Nature Communications,2041-1723
item_3395345,Nature Publishing Group,Scientific Reports,2045-2322
item_3481152,Academic Press,NeuroImage,1053-8119
item_3458852,MDPI AG,International Journal of Molecular Sciences ,1422-0067
item_3475534,Nature Publishing Group,Nature Communications,2041-1723
item_3401736,Springer,Scientific Reports,
item_3365256,Wiley-Liss,Human Brain Mapping,1065-9471
item_3369912,Nature Publishing Group,Nature,0028-0836
item_3491834,AAAS,Science Advances,2375-2548
item_3388572,American Geophysical Union,Global Biogeochemical Cycles,0886-6236
item_3363959,Springer International Publishing,Adaptive Human Behavior and Physiology,
item_3444889,American Chemical Society,Chemistry of Materials,0897-4756
item_3377084,Elsevier B.V.,Applied Surface Science,0169-4332
item_3387941,Elsevier,Bone,8756-3282
item_3387624,Nature Publishing Group,Nature Climate Change,1758-678x
item_3368335,"John Wiley & Sons, Inc.",Ecology and Evolution,2045-7758
